Distrito,Ano Semestre,EI,CE,SR,AI,AF,EM,EJAFAI,EJAFAF,EJAEM
LINS,2021: Semestre 1,0.0,7.767441860465116,0.0,85.90697674418605,164.93023255813952,97.74418604651163,0.3953488372093023,10.767441860465116,4.488372093023256
MARILIA,2021: Semestre 1,0.0,5.3125,0.015625,46.625,189.09375,116.796875,0.890625,8.140625,5.25
CATANDUVA,2021: Semestre 1,0.0,4.793103448275862,0.0,0.0,157.51724137931035,199.55172413793105,0.0,28.379310344827587,9.517241379310345
JALES,2021: Semestre 1,0.0,3.8,0.0,24.114285714285714,154.31428571428572,132.71428571428572,0.0,4.771428571428571,2.6
FERNANDOPOLIS,2021: Semestre 1,0.0,5.44,0.0,11.76,184.84,134.36,0.0,7.84,3.52
JOSE BONIFACIO,2021: Semestre 1,0.0,7.5,0.0,38.40625,222.625,191.71875,0.0,15.3125,4.4375
VOTUPORANGA,2021: Semestre 1,0.0,4.580645161290323,0.0,10.612903225806452,184.83870967741936,139.96774193548387,0.8064516129032258,8.774193548387096,4.064516129032258
ARACATUBA,2021: Semestre 1,0.0,5.75,0.0,0.0,212.675,146.475,1.1,12.725,6.775
PIRAJU,2021: Semestre 1,0.0,4.5,0.0,0.0,237.4375,143.125,0.0,1.4375,0.0
BIRIGUI,2021: Semestre 1,0.0,6.08,0.04,0.0,273.56,170.84,0.4,16.64,6.2
PENAPOLIS,2021: Semestre 1,0.10526315789473684,11.473684210526315,0.0,26.473684210526315,228.10526315789474,126.3157894736842,0.631578947368421,3.736842105263158,2.8947368421052633
ADAMANTINA,2021: Semestre 1,0.0,2.215686274509804,0.0,0.0,158.2156862745098,113.6078431372549,4.078431372549019,26.372549019607842,21.058823529411764
TUPA,2021: Semestre 1,0.2857142857142857,3.4285714285714284,0.0,52.77142857142857,199.6,125.22857142857143,0.0,13.314285714285715,5.4
SANTO ANASTACIO,2021: Semestre 1,0.0,2.0,0.0,43.77777777777778,135.0,105.03703703703704,0.6666666666666666,16.925925925925927,7.444444444444445
MIRANTE DO PARANAPANEMA,2021: Semestre 1,0.0,4.903225806451613,0.0,30.483870967741936,96.16129032258064,91.90322580645162,0.0,10.258064516129032,9.161290322580646
ASSIS,2021: Semestre 1,0.0,4.0,0.0,17.3265306122449,186.91836734693877,121.38775510204081,2.5918367346938775,18.979591836734695,9.755102040816327
OURINHOS,2021: Semestre 1,0.0,1.75,0.0,30.666666666666668,188.25,164.13888888888889,0.9166666666666666,26.194444444444443,7.888888888888889
MIRACATU,2021: Semestre 1,0.2564102564102564,3.0,0.0,7.538461538461538,135.35897435897436,97.38461538461539,0.10256410256410256,9.461538461538462,4.358974358974359
NORTE 1,2021: Semestre 2,0.0,4.09433962264151,0.0,273.62264150943395,208.37735849056602,266.4811320754717,0.0,50.424528301886795,0.0
