COD_ESC;NOME_ESCOLA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF
41762;MARIA JUVENAL HOMEM DE MELLO PROFA;0;0;0;311;310;213;0;0;0
41798;ERODICE PONTES DE QUEIROZ REV;0;0;0;843;815;519;0;0;0
43941;JACOB THOMAZ ITAPURA DE MIRANDA PROF;0;0;0;686;0;0;0;0;0
44465;ANTONIO PEREIRA LIMA DR;0;0;0;0;198;129;0;0;0
46361;ESTHER GARCIA PROFA EE;0;0;0;0;408;280;0;0;0
461143;MADRE MARIE DOMINEUC;0;0;0;941;0;0;0;0;0
901787;ITURBIDES BOLIVAR DE ALMEIDA SERRA PROF;0;0;0;508;0;0;0;0;0
901799;HERMINIO SACCHETTA;0;0;0;288;218;140;0;0;0
904594;WASHINGTON ALVES NATEL;0;0;0;0;1452;0;0;320;0
906578;GERSON DE MOURA MUZEL PROFESSOR;0;0;0;589;0;0;0;0;0
907194;AFRANIO DE OLIVEIRA;0;0;0;0;673;595;0;0;0
909212;ALEXANDRE ANSALDO MOZZILLI PROFESSOR;0;0;0;749;0;0;0;0;0
914836;RENE MUAWAD PRESIDENTE;0;0;0;708;0;0;0;0;0
916812;BELKICE MANHAES REIS PROFESSORA;0;0;0;279;0;0;0;0;0
923461;HEITOR VILLA LOBOS MAESTRO;0;0;0;0;295;402;0;0;0
925317;MARIAZINHA CONGILIO;0;0;0;0;707;632;0;67;0
925378;MARISTELA DALLOCA PROF?;0;0;0;610;367;0;0;0;0
5630;WALTHER WEISZFLOG;0;0;0;0;0;235;0;0;0
901805;DR MARIO TOLEDO DE MORAES;0;12;0;0;904;724;0;0;0
923138;ALFRIED THEODOR WEISZFLOG;0;0;0;0;374;209;0;0;0
5538;SUZANA DIAS;0;11;0;0;192;530;0;106;0
5548;WALTER RIBAS DE ANDRADE PROF EE;0;0;0;0;0;371;0;0;0
44957;VINCENZO LOBASSI;0;0;0;0;309;240;0;0;0
48781;ULYSSES SANCHES RAMIRES PROF;0;3;0;278;248;152;0;0;0
50404;JARDIM ALEGRIA II;0;6;0;0;695;484;0;0;0
913443;JOSE DE BARROS MARTINS EDITOR;0;0;0;0;682;452;0;0;0
923114;JARDIM DAS ROSAS;0;0;0;0;662;488;0;0;0
985659;CEL JTO A EE LENITA CORREA CAMARGO PROFA;0;0;0;0;0;0;0;0;0
5666;AZEVEDO SOARES;0;0;0;0;321;193;0;0;0
5678;ISAURA DE MIRANDA BOTTO PROFA;0;0;0;0;458;181;0;0;0
5708;DOMINGOS CAMBIAGHI PROF;0;0;0;0;503;0;0;301;0
5712;BENEDITO FAGUNDES MARQUES;0;12;0;0;0;727;0;0;0
50436;JOSE PARADA PROFESSOR;0;3;0;404;438;263;0;0;0
269396;IVONE DOS ANJOS DA SILVA CAMPOS PROFA;0;0;0;0;546;219;0;0;0
910636;BENEDITO APARECIDO TAVARES PROF;0;0;0;0;489;231;0;0;0
923643;JOCIMARA VIEIRA DA SILVA PROFA;0;14;0;0;659;678;0;0;0
7474;CENTRO DE ATENDIMENTO INICIAL E PROVISORIO JACARANDA – CAIP JACARANDA;0;0;0;0;0;0;0;0;0
454285;PENITENCIARIA III JOSE APARECIDO RIBEIRO;0;0;0;0;0;0;0;86;101
458120;CENTRO DE PROGRESSAO PENITENCIARIA DE FRANCO DA ROCHA;0;0;0;0;0;0;15;42;60
39445;OZILDE ALBUQUERQUE PASSARELLA DR;0;0;0;0;328;242;0;0;0
5794;CAPISTRANO DE ABREU;0;0;0;466;0;0;0;0;0
5927;EMILIA ANNA ANTONIO PROFESSORA;0;0;0;0;456;0;0;54;0
6048;ARY GOMES CORONEL;0;0;0;0;212;132;0;0;0
6075;ERICO VERISSIMO;0;0;0;0;381;236;0;0;0
6233;JOAO CRISPINIANO SOARES;0;6;0;452;0;0;0;0;0
6270;ZILDA ROMEIRO PINTO MOREIRA DA SILVA PROF;0;0;0;140;1158;779;0;200;0
6359;JOAO RIBEIRO DE BARROS COMANDANTE;0;10;0;434;0;0;0;69;0
6440;OSWALDO SAMPAIO ALVES;0;18;0;48;267;99;0;0;0
35725;MARIA HILDA ORNELAS DE OLIVEIRA PROFESSORA;0;5;0;66;243;117;0;0;0
38362;BARTHOLOMEU DE CARLOS;0;0;0;0;502;266;0;0;0
41920;LICINIO CARPINELLI PROFESSOR;0;0;0;0;785;1059;0;0;0
269402;JARDIM ARUJA;0;0;0;248;0;0;0;0;0
285785;REPUBLICA DA VENEZUELA II;0;0;0;0;267;99;0;0;0
297537;LOUIS BRAILLE;0;69;0;0;561;302;0;0;0
907085;HUGO DE AGUIAR;0;14;0;0;845;814;0;0;0
